image,size,run,proof_gen_s,verify_s,ok
image(1).jpg,16,0,0.0,0.0,
image(10).jpg,16,0,0.0,0.0,
image(11).jpg,16,0,0.0,0.0,
image(12).jpg,16,0,0.0,0.0,
image(13).jpg,16,0,0.0,0.0,
image(14).jpg,16,0,0.0,0.0,
image(15).jpg,16,0,0.0,0.0,
image(16).jpg,16,0,0.0,0.0,
image(17).jpg,16,0,0.0,0.0,
image(18).jpg,16,0,0.0,0.0,
image(19).jpg,16,0,0.0,0.0,
image(2).jpg,16,0,0.0,0.0,
image(20).jpg,16,0,0.0,0.0,
image(21).jpg,16,0,2.574920654296875e-05,2.002716064453125e-05,True
image(22).jpg,16,0,2.9087066650390625e-05,2.0265579223632812e-05,True
image(23).jpg,16,0,3.0279159545898438e-05,2.09808349609375e-05,True
image(27).jpg,16,0,4.506111145019531e-05,2.4080276489257812e-05,True
image(28).jpg,16,0,3.1948089599609375e-05,2.09808349609375e-05,True
image(3).jpg,16,0,0.0,0.0,
image(30).jpg,16,0,3.409385681152344e-05,2.193450927734375e-05,True
image(31).jpg,16,0,0.0,0.0,
image(34).jpg,16,0,0.0,0.0,
image(35).jpg,16,0,3.62396240234375e-05,2.288818359375e-05,True
image(36).jpg,16,0,2.8371810913085938e-05,2.002716064453125e-05,True
image(37).jpg,16,0,3.62396240234375e-05,2.6941299438476562e-05,True
image(38).jpg,16,0,2.8133392333984375e-05,2.002716064453125e-05,True
image(4).jpg,16,0,0.0,0.0,
image(41).jpg,16,0,0.0,0.0,
image(42).jpg,16,0,0.0,0.0,
image(43).jpg,16,0,0.0,0.0,
image(44).jpg,16,0,5.078315734863281e-05,2.3126602172851562e-05,True
image(45).jpg,16,0,3.0994415283203125e-05,2.002716064453125e-05,True
image(46).jpg,16,0,3.0040740966796875e-05,2.002716064453125e-05,True
image(47).jpg,16,0,2.9325485229492188e-05,2.002716064453125e-05,True
image(48).jpg,16,0,4.100799560546875e-05,2.3126602172851562e-05,True
image(5).jpg,16,0,0.0,0.0,
image(6).jpg,16,0,0.0,0.0,
image(7).jpg,16,0,0.0,0.0,
image(8).jpg,16,0,0.0,0.0,
image(9).jpg,16,0,0.0,0.0,
image(1).jpg,16,1,0.0,0.0,
image(10).jpg,16,1,0.0,0.0,
image(11).jpg,16,1,0.0,0.0,
image(12).jpg,16,1,0.0,0.0,
image(13).jpg,16,1,0.0,0.0,
image(14).jpg,16,1,0.0,0.0,
image(15).jpg,16,1,0.0,0.0,
image(16).jpg,16,1,0.0,0.0,
image(17).jpg,16,1,0.0,0.0,
image(18).jpg,16,1,0.0,0.0,
image(19).jpg,16,1,0.0,0.0,
image(2).jpg,16,1,0.0,0.0,
image(20).jpg,16,1,0.0,0.0,
image(21).jpg,16,1,3.719329833984375e-05,2.09808349609375e-05,True
image(22).jpg,16,1,3.0040740966796875e-05,2.002716064453125e-05,True
image(23).jpg,16,1,3.314018249511719e-05,2.288818359375e-05,True
image(27).jpg,16,1,4.506111145019531e-05,2.2172927856445312e-05,True
image(28).jpg,16,1,3.6716461181640625e-05,2.288818359375e-05,True
image(3).jpg,16,1,0.0,0.0,
image(30).jpg,16,1,3.2901763916015625e-05,2.1219253540039062e-05,True
image(31).jpg,16,1,0.0,0.0,
image(34).jpg,16,1,0.0,0.0,
image(35).jpg,16,1,4.00543212890625e-05,2.9087066650390625e-05,True
image(36).jpg,16,1,4.982948303222656e-05,4.076957702636719e-05,True
image(37).jpg,16,1,3.790855407714844e-05,2.6941299438476562e-05,True
image(38).jpg,16,1,2.7894973754882812e-05,2.002716064453125e-05,True
image(4).jpg,16,1,0.0,0.0,
image(41).jpg,16,1,0.0,0.0,
image(42).jpg,16,1,0.0,0.0,
image(43).jpg,16,1,0.0,0.0,
image(44).jpg,16,1,6.413459777832031e-05,2.5033950805664062e-05,True
image(45).jpg,16,1,3.0279159545898438e-05,1.9788742065429688e-05,True
image(46).jpg,16,1,0.00011587142944335938,3.314018249511719e-05,True
image(47).jpg,16,1,3.0040740966796875e-05,2.002716064453125e-05,True
image(48).jpg,16,1,2.6702880859375e-05,2.002716064453125e-05,True
image(5).jpg,16,1,0.0,0.0,
image(6).jpg,16,1,0.0,0.0,
image(7).jpg,16,1,0.0,0.0,
image(8).jpg,16,1,0.0,0.0,
image(9).jpg,16,1,0.0,0.0,
